pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
339,"{""icon"": ""ccccccc""}",base,173-N/A,N/A,Not Applicable,,81,3,
340,"{""icon"": ""cff66ff""}",base,173-?,?,Not known,,81,2,
341,"{""icon"": ""c000000""}",base,174-1,1,present,,82,1,
342,"{""icon"": ""c990099""}",base,174-0,0,absent,,82,0,
343,"{""icon"": ""ccccccc""}",base,174-N/A,N/A,Not Applicable,,82,3,
344,"{""icon"": ""cff66ff""}",base,174-?,?,Not known,,82,2,
345,"{""icon"": ""c000000""}",base,175-1,1,present,,83,1,
346,"{""icon"": ""c990099""}",base,175-0,0,absent,,83,0,
347,"{""icon"": ""ccccccc""}",base,175-N/A,N/A,Not Applicable,,83,3,
348,"{""icon"": ""cff66ff""}",base,175-?,?,Not known,,83,2,
349,"{""icon"": ""c000000""}",base,176-1,1,present,,84,1,
350,"{""icon"": ""c990099""}",base,176-0,0,absent,,84,0,
351,"{""icon"": ""ccccccc""}",base,176-N/A,N/A,Not Applicable,,84,3,
352,"{""icon"": ""cff66ff""}",base,176-?,?,Not known,,84,2,
353,"{""icon"": ""c000000""}",base,177-1,1,present,,85,1,
354,"{""icon"": ""c990099""}",base,177-0,0,absent,,85,0,
355,"{""icon"": ""ccccccc""}",base,177-N/A,N/A,Not Applicable,,85,3,
356,"{""icon"": ""cff66ff""}",base,177-?,?,Not known,,85,2,
357,"{""icon"": ""c000000""}",base,178-1,1,present,,86,1,
358,"{""icon"": ""c990099""}",base,178-0,0,absent,,86,0,
359,"{""icon"": ""ccccccc""}",base,178-N/A,N/A,Not Applicable,,86,3,
360,"{""icon"": ""cff66ff""}",base,178-?,?,Not known,,86,2,
361,"{""icon"": ""c000000""}",base,179-1,1,present,,87,1,
362,"{""icon"": ""c990099""}",base,179-0,0,absent,,87,0,
363,"{""icon"": ""ccccccc""}",base,179-N/A,N/A,Not Applicable,,87,3,
364,"{""icon"": ""cff66ff""}",base,179-?,?,Not known,,87,2,
365,"{""icon"": ""c000000""}",base,18-1,1,present,,88,1,
366,"{""icon"": ""c9999ff""}",base,18-0,0,absent,,88,0,
367,"{""icon"": ""cff4400""}",base,18-?,?,Not known,,88,2,
368,"{""icon"": ""c000000""}",base,181-1,1,present,,89,1,
369,"{""icon"": ""c990099""}",base,181-0,0,absent,,89,0,
370,"{""icon"": ""ccccccc""}",base,181-N/A,N/A,Not Applicable,,89,3,
371,"{""icon"": ""cff66ff""}",base,181-?,?,Not known,,89,2,
372,"{""icon"": ""c000000""}",base,182-1,1,present,,90,1,
373,"{""icon"": ""c990099""}",base,182-0,0,absent,,90,0,
374,"{""icon"": ""ccccccc""}",base,182-N/A,N/A,Not Applicable,,90,3,
