pk,jsondata,polymorphic_type,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
297,"{""gbs"": {}}",base,gsauvageotdyolof,Sauvageot 1965,Description synchronique d'un dialecte wolof: le parler du Dyolof,,,,book,"Sauvageot, Serge",1965,Description synchronique d'un dialecte wolof: le parler du Dyolof,,,,250,,,,,,,,,,Inst. Fondamental de l'Afrique Noire (IFAN),,,,,,
298,"{""gbs"": {}}",base,syimammao,Yimam 2006,A general description of Mao,,,,article,"Yimam, Baye",2006,A general description of Mao,,,,166-225,,Ethiopian Languages Research Centre (ELRC) Working Papers,,,,,2,,2,,,,,,,
299,"{""gbs"": {}}",base,ggiriersoninkee,Girier 1996,Parlons Soninké,,,,book,"Girier, Christian",1996,Parlons Soninké,,,,,,,,Paris,,,,Collection Parlons,,Paris: Éditions L'Harmattan,,,,,,
300,"{""gbs"": {}}",base,typvoisinnouguierwolof,Voisin-Nouguier 2010,Possessive voice in Wolof: a rare type of valency operator,,,,incollection,"Voisin-Nouguier, Sylvie",2010,Possessive voice in Wolof: a rare type of valency operator,,Rara &Rarissima: Documenting the fringes of linguistic diversity,"Wohlgemuth, Jan and Cysouw, Michael",377-400,,,,,,,,Empirical Approaches to Language Typology,46,Berlin: Mouton de Gruyter,,,,,,
301,"{""gbs"": {}}",base,sroulongbayakara,Roulon 1975,Le verbe en gbaya: étude syntaxique et sémantique du syntagme verbal en gbáyá kàrá 'bòdòè (R.C.A.),,,,book,"Roulon, Paulette",1975,Le verbe en gbaya: étude syntaxique et sémantique du syntagme verbal en gbáyá kàrá 'bòdòè (R.C.A.),,,,187,,,,,,,,Société d'études linguistiques et anthropologiques de France,51-52,SELAF,,,,,,
302,"{""gbs"": {}}",base,gdeguiraudonfulbe,de Guiraudon 1894,Bolle Fulbe: Manuel de la langue Foule parlée dans la Sénégambie et le Soudan,,,,book,"de Guiraudon, Thomas Grimal",1894,Bolle Fulbe: Manuel de la langue Foule parlée dans la Sénégambie et le Soudan,,,,154,,,,,,,,,,Paris: H. Welter,,,,,,
303,"{""gbs"": {}}",base,gdramemandinka,Dramé 2003,Parlons Mandinka,,,,book,"Dramé, Maŋ Lafi",2003,Parlons Mandinka,,,,206,,,,,,,,Collection Parlons,,Paris: L'Harmattan,,,,,,
304,"{""gbs"": {}}",base,typsmithutmain,Smith 2007,The noun class system of \textsubbar{U}t-Ma'in: A West Kainji language of Nigeria,,,,mastersthesis,"Smith, Rebecca Dow",2007,The noun class system of \textsubbar{U}t-Ma'in: A West Kainji language of Nigeria,,,,,,,"University of North Dakota, Grand Forks",,,,,,,,,,,,,
305,"{""gbs"": {}}",base,phonsalffnerukaan,Salffner 2010,"Tone in the phonology, lexicon and grammar of Ikaan",,,,phdthesis,"Salffner, Sophie",2010,"Tone in the phonology, lexicon and grammar of Ikaan",,,,375,,,"School of Oriental and African Studies, University of London",,,,,,,,,,,,,
306,"{""gbs"": {}}",base,typtorrencewolof,Torrence 2005,On the Distribution of Complementizers in Wolof,,,,phdthesis,"Torrence, Harold",2005,On the Distribution of Complementizers in Wolof,,,,,,,University of California at Los Angeles,,,,,,,,,,,,,
307,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""ProQuest"", ""description"": ""The flexibility of the account is illustrated by two case studies in nominalization in Italian and in Wan (Mande), each dealing with its own kind of \""unusual\"" mixed category that is problematic for the previously proposed approaches to category mixing."", ""language"": ""en"", ""publishedDate"": ""2008"", ""imageLinks"": {""smallThumbnail"": ""http://bks8.books.google.de/books?id=lUXqEKHEWMwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://bks8.books.google.de/books?id=lUXqEKHEWMwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=lUXqEKHEWMwC&pg=PA139&dq=inauthor:Nikitina,+Tatiana+V.+intitle:The+mixing+of+syntactic+properties+and+language+change&hl=&cd=1&source=gbs_api"", ""title"": ""The Mixing of Syntactic Properties and Language Change"", ""printType"": ""BOOK"", ""pageCount"": 274, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""0549846905"", ""type"": ""ISBN_10""}, {""identifier"": ""9780549846901"", ""type"": ""ISBN_13""}], ""authors"": [""Tatiana V. Nikitina""], ""infoLink"": ""http://books.google.de/books?id=lUXqEKHEWMwC&dq=inauthor:Nikitina,+Tatiana+V.+intitle:The+mixing+of+syntactic+properties+and+language+change&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Mixing_of_Syntactic_Properties_and_L.html?hl=&id=lUXqEKHEWMwC""}, ""searchInfo"": {""textSnippet"": ""<b>Tatiana V</b>. Nikitina. Chapter 6. <b>Mixed</b> infinitives as a result of categorial reanalysis <br>\n6.1. <b>Syntactic</b> reanalysis as a source of a new construction In the previous <br>\nchapter, I discussed one kind of <b>language change</b> that commonly leads to the&nbsp;...""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""l1ljulqKWH0"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=lUXqEKHEWMwC&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": true, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""PARTIAL"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""SAMPLE""}, ""id"": ""lUXqEKHEWMwC"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/lUXqEKHEWMwC""}}",base,htypnikitinawanproperties,Nikitina 2008,The mixing of syntactic properties and language change,,,lUXqEKHEWMwC,phdthesis,"Nikitina, Tatiana V.",2008,The mixing of syntactic properties and language change,,,,284,,,Stanford University,,,,,,,,,,,,,
308,"{""gbs"": {}}",base,gfofanatraorebamanakan,Fofana and Traoré 2003,Bamanakan learners' reference grammar,,,,book,"Fofana, Amadou Tidiane and Traoré, Mamery",2003,Bamanakan learners' reference grammar,,,,,,,,,,,,African language learners' reference grammar series,,Madison: NALRC (National African Language Resource Center) Press,,,,,,
309,"{""gbs"": {}}",base,typcreisselsvoisinnouguierwolofvalency,Creissels and Voisin-Nouguier 2004,The verbal suffixes of Wolof coding valency changes and the notion of co-participation,,,,incollection,"Creissels, Denis and Voisin-Nouguier, Sylvie",2004,The verbal suffixes of Wolof coding valency changes and the notion of co-participation,,,,,,,,,,,,,,,,,"Paper presented at the Workshop on Reciprocity and Reflexivity, FU Berlin, 1-2 October 2004",,,
310,"{""gbs"": {}}",base,typrobertwolofclausechaining,Robert 2010,Clause chaining and conjugations in Wolof: a typology of parataxis and its semantics,,,,incollection,"Robert, Stéphane",2010,Clause chaining and conjugations in Wolof: a typology of parataxis and its semantics,,Clause Linking and Clause Hierarchy: Syntax and Pragmatics,"Bril, Isabelle",469-498,,,,,,,,Studies in Language Companion Series,121,Amsterdam: John Benjamins,,,,,,
311,"{""gbs"": {}}",base,skawolof,Ka 1994,Wolof phonology and morphology,,,,book,"Ka, Omar",1994,Wolof phonology and morphology,,,,,,,,Lanham MD,,,,,,Lanham MD: Univ. Press of America,,,,,,
312,"{""gbs"": {}}",base,goforiakan,Ofori 2006,Topics in Akan grammar,,,,phdthesis,"Ofori, Seth Antwi",2006,Topics in Akan grammar,,,,x+178,,,Bloomington: University of Indiana,Ann Arbor,\url{http://proquest.umi.com/pqdweb?index=10&sid=4&srchmode=1&vinst=PROD&fmt=6&startpage=-1&clientid=56146&vname=PQD&RQT=309&did=1232398541&scaling=FULL&ts=12},,,,,Ann Arbor: UMI,,,,,,
313,"{""gbs"": {}}",base,gfordavatime,Ford 1971,Aspects of Avatime syntax,,,,phdthesis,"Ford, Kevin",1971,Aspects of Avatime syntax,,,,285,,,Legon: University of Ghana,,,,,,,,,,,,,
314,"{""gbs"": {}}",base,sringakpafulolobi,Ring et al. 2002,Language Structures of Siwu (Akpafu-Lolobi),,,,book,"Ring, J. Andrew and Addae, Stephen Bosco and Atsu, John",2002,Language Structures of Siwu (Akpafu-Lolobi),,,,93,,,,,,,,Applied Linguistic Studies in Ghanaian Languages,,Tamale: Ghana Institute of Linguistics,,,,,,
315,"{""gbs"": {}}",base,gchakerkabylie1983,Chaker 1983,Un parler berbère d'Algerie (Kabylie): syntaxe,,,,book,"Chaker, Salem",1983,Un parler berbère d'Algerie (Kabylie): syntaxe,,,,690,,,,Aix-en-Provence,,,,,,Aix-en-Provence: Publications de l'Université de Provence,,,,,,
316,"{""gbs"": {}}",base,gayuninjammbili,Ayuninjam 1998,A Reference Grammar of Mbili,,,,book,"Ayuninjam, Funwi F.",1998,A Reference Grammar of Mbili,,,,xxxiii+444,,,,,,,,,,"Lanham, Maryland: University Press of America",,,,,,
317,"{""gbs"": {}}",base,typschuhavatime,Schuh 1995,Avatime noun classes and concord,,,,article,"Schuh, Russell Galen",1995,Avatime noun classes and concord,,,,123-149,,Studies in African linguistics,,,,,2,,24,,,,,,,
318,"{""gbs"": {}}",base,typsalffnerikaan,Salffner 2012,"Tense, aspect and manner encoding in Ikaan beyond verbal inflection",,,,incollection,"Salffner, Sophie",2012,"Tense, aspect and manner encoding in Ikaan beyond verbal inflection",,Advances in Minority Language Research in Nigeria,"Blench, Roger M. and McGill, Stuart",137-190,,,,,,,,,,Köln: Rüdiger Köppe,,,,,,
319,"{""gbs"": {}}",base,typgibbardetalmoro,Gibbard et al. 2009,Moro noun class morphology,,,,incollection,"Gibbard, George and Rohde, Hannah and Rose, Sharon",2009,Moro noun class morphology,,Selected proceedings of the 38th annual conference on African linguistics: linguistic theory and African language documentation,"Matondo, Masangu and McLaughlin, Fiona and Potsdam, Eric",106-117,,,,Somerville MA,,,,,,Somerville MA: Cascadilla Proceedings Project,,,,,,
320,"{""gbs"": {}}",base,typravenhillwan,Ravenhill 1982,The Wan language,,,,article,"Ravenhill, Philip Leonard",1982,The Wan language,,,,57-69,,Mandenkan: bull. semestriel d'études linguistiques mandé,,,,,,,4,,,,,,,
321,"{""gbs"": {}}",base,typkuznetsovaguromestoimenij,Kuznetsova 2008,Morfologija ličnyx mestoimenij v jazyke guro,,,,incollection,"Kuznetsova, Natalia",2008,Morfologija ličnyx mestoimenij v jazyke guro,,Afrikanskij sbornik-2007,,367-409,,,,,,,,,,St. Peterburg: NAUKA,,,,,,
322,"{""gbs"": {}}",base,ldosamanimacyakan,Osam 1993/1996,Animacy distinctions in Akan grammar,,,,article,"Osam, Emmanuel Kweku",1993/1996,Animacy distinctions in Akan grammar,,,,153-164,,Studies in the linguistic sciences,,,,,2,,23,,,,,,,
323,"{""gbs"": {}}",base,sschwabmano,Schwab 1947,The Mano language,,,,incollection,"Schwab, George",1947,The Mano language,,Tribes of the Liberian Hinterland,,474-526,,,,,,Contains a sketch of Mano.,,"Papers of the Peabody Museum of American Archaeology and Ethnology, Harvard University",XXXI,"Cambridge, Massachusetts: The Museum",,,,,,
324,"{""gbs"": {}}",base,gprostloghoma,Prost 1967,La langue Lɔghɔma: esquisse grammaticale suivie de textes et d'un glossaire,,,,book,"Prost, André",1967,La langue Lɔghɔma: esquisse grammaticale suivie de textes et d'un glossaire,,,,170,,,,Dakar,,,,Documents linguistiques,13,"Dakar: Universite de Dakar, Faculte des Lettres et Science Humaines",,,,,,
325,"{""gbs"": {}}",base,gmigeodmende,Migeod 1908,The Mende Language,,,,book,"Migeod, F. W. H.",1908,The Mende Language,,,,282,,,,London,,,,,,"London: Kegal Paul, Trench, Trübner &Co",,,,,,
326,"{""gbs"": {}}",base,gcreisselsmandinka,Creissels 1983,Éléments de Grammaire de la Langue Mandinka,,,,book,"Creissels, Denis",1983,Éléments de Grammaire de la Langue Mandinka,,,,223,,,,Grenoble,,,,,,Grenoble: Publications de l'Université des Langues et Lettres,,,,,,
327,"{""gbs"": {}}",base,gmbejezulu,Mbeje 2005,Zulu learners' reference grammar,,,,book,"Mbeje, Audrey N.",2005,Zulu learners' reference grammar,Book,,,,,,,,,,,African language learners' reference grammar series,,NALRC (National African Language Resource Center) Press,,,,,,
328,"{""gbs"": {}}",base,espaulinbakatransformations,Paulin 2010,Les Baka du Gabon dans une dynamique de transformations culturelles. Perspectives linguistiques et anthropologiques,,,,phdthesis,"Paulin, Pascale",2010,Les Baka du Gabon dans une dynamique de transformations culturelles. Perspectives linguistiques et anthropologiques,,,,624,,,Université Lumière Lyon 2,,,,,,,,,,,,,
329,"{""gbs"": {}}",base,ghagmannama1977,Hagman 1977,Nama Hottentot Grammar,,,,book,"Hagman, Roy S.",1977,Nama Hottentot Grammar,,,,xv+167,,,,,,,,Indiana University Publications: Language Science Monographs,15,Bloomington: Indiana University,,,,,,
330,"{""gbs"": {}}",base,vtypbernanderbena,Bernander 2012,Contact induced change in Bena (G63) – A study of 'swahilization' in a Tanzanian vernacular language,,,,mastersthesis,"Bernander, Rasmus",2012,Contact induced change in Bena (G63) – A study of 'swahilization' in a Tanzanian vernacular language,,,,55,,,Gothenburg University,,,,,,,,,,,,,
331,"{""gbs"": {}}",base,gdiagnesoninke,Diagne 2006,Phonologie et morphologie du soninke: une analyse non linéaire,,,,phdthesis,"Diagne, Anna Marie",2006,Phonologie et morphologie du soninke: une analyse non linéaire,,,,323,,,Mainz: Johannes Gutenberg Universität,,,,,,,,,,,,,
332,"{""gbs"": {}}",base,widdahsiwu,Iddah 1980,Siwu,,,,book,"Iddah, Robert K.",1980,Siwu,,West African Language Data Sheets: Volume 2,"Kropp Dakubu, Mary E.",1-6,,,,,,,,,,West African Linguistic Society,,,,,,
333,"{""gbs"": {}}",base,typmclaughlinwolofnoun,McLaughlin 1997,Noun classification in Wolof: when affixes are not renewed,,,,article,"McLaughlin, Fiona",1997,Noun classification in Wolof: when affixes are not renewed,,,,1-28,,Studies in African linguistics,,,,,1,,26,,,,,,,
334,"{""gbs"": {}}",base,gbuellzulu,Buell 2005,Issues in Zulu Verbal Morphosyntax,,,,phdthesis,"Buell, Leston C.",2005,Issues in Zulu Verbal Morphosyntax,,,,xi+219,,,Los Angeles: University of California,,\url{http://www.fizzylogic.com/users/bulbul/school/buell-dissertation-single-space.pdf},,,,,,,,,,,
335,"{""gbs"": {}}",base,gmatovuluganda,Matovu 1994,Luganda Self-instructing Learner's Manual,,,,book,"Matovu, K.",1994,Luganda Self-instructing Learner's Manual,,,,158,,,,"Washington, D. C.",\url{http://tinyurl.com/647vpm},,,,,"Washington, D. C.: Peace Corps",,,,,,
336,"{""gbs"": {}}",base,swangzhuangdong,Wang 1984,Zhuang-Dong Yuzu Yuyan jianzhi,,,,book,"Wang, Jun",1984,Zhuang-Dong Yuzu Yuyan jianzhi,,,,914,,,,,,,,,,Beijing: Ethnic Publishing House,,,,,,
337,"{""gbs"": {}}",base,dbukenyakamogaluganda,Bukenya and Kamoga 2009,Standard Luganda-English Dictionary,,,,book,"Bukenya, Austin and Kamoga, Leonard",2009,Standard Luganda-English Dictionary,,,,xiv+210,,,,,,,,,,Kampala: Fountain,,,,,,
338,"{""gbs"": {}}",base,scaudilldiallofuutajallon,Caudill and Diallo 2000,Learner's Guide to Pular (Fuuta Jallon),,,,book,"Caudill, Herb and Diallo, Ousmane Besseko",2000,Learner's Guide to Pular (Fuuta Jallon),,,,127,,,,,,,,,,Guinea: Peace Corps,,,,,,
339,"{""gbs"": {}}",base,typejeleesan,Ejele 1986,"Transitivity, tense and aspect in Esan (Ishan)",,,,phdthesis,"Ejele, Philomena E.",1986,"Transitivity, tense and aspect in Esan (Ishan)",,,,208,,,University College London,,,,,,,,,,,,,
340,"{""gbs"": {}}",base,typarnottfulamiddle,Arnott 1956,The middle voice in Fula,,,,article,"Arnott, David Whitehorn",1956,The middle voice in Fula,,,,130-144,,Bulletin of the School of Oriental and African Studies,,,,,1,,18,,,,,,,
